Satellite,Code,jd_tdb,x_km,y_km,z_km
Phobos,401,2461207.000000,-5038.142717,-7650.511542,1839.915672
Phobos,401,2461214.000000,-6921.751698,-5648.194965,2908.012499
Phobos,401,2461221.000000,-8125.950067,-3095.278878,3684.644630
Phobos,401,2461228.000000,-8547.233528,-246.840944,4100.869705
Phobos,401,2461235.000000,-8156.667264,2622.866617,4122.911786
Phobos,401,2461242.000000,-6997.864031,5243.730537,3753.162834
Phobos,401,2461249.000000,-5181.007804,7370.990892,3028.398837
Phobos,401,2461256.000000,-2873.332119,8802.912614,2016.550628
Phobos,401,2461263.000000,-288.294691,9396.045090,811.708141
Phobos,401,2461270.000000,2328.978749,9079.941717,-471.459971
Phobos,401,2461277.000000,4722.024497,7868.751999,-1706.875471
Phobos,401,2461284.000000,6647.261773,5866.338149,-2769.109073
Phobos,401,2461291.000000,7899.911092,3263.184130,-3546.013266
Phobos,401,2461298.000000,8341.117774,321.383203,-3953.012065
Phobos,401,2461305.000000,7919.670069,-2654.543929,-3945.114875
Phobos,401,2461312.000000,6679.700463,-5354.910963,-3523.832610
Phobos,401,2461319.000000,4755.205402,-7502.476975,-2736.672473
Phobos,401,2461326.000000,2351.915510,-8885.498201,-1670.013972
Phobos,401,2461333.000000,-281.566813,-9379.188876,-436.699102
Phobos,401,2461340.000000,-2883.492911,-8952.198452,838.120517
Phobos,401,2461347.000000,-5204.393382,-7662.032134,2029.430351
Phobos,401,2461354.000000,-7028.323848,-5643.813397,3024.177957
Phobos,401,2461361.000000,-8189.299338,-3093.886476,3729.899348
Phobos,401,2461368.000000,-8581.163127,-252.188968,4080.587046
Phobos,401,2461375.000000,-8164.327069,2615.420048,4041.341568
Phobos,401,2461382.000000,-6970.441415,5236.407332,3611.653814
Phobos,401,2461389.000000,-5102.623594,7354.319577,2827.294114
Phobos,401,2461396.000000,-2731.354037,8751.991261,1758.902115
Phobos,401,2461403.000000,-84.381588,9274.773429,508.827388
Phobos,401,2461410.000000,2572.866796,8853.547577,-797.264408
Phobos,401,2461417.000000,4966.097525,7519.549634,-2023.725244
Phobos,401,2461424.000000,6845.007216,5405.102270,-3040.981111
Phobos,401,2461431.000000,8014.167939,2730.858624,-3741.875250
Phobos,401,2461438.000000,8358.647706,-221.852747,-4054.947456
Phobos,401,2461445.000000,7855.241710,-3148.343551,-3952.469617
Phobos,401,2461452.000000,6569.582728,-5756.571713,-3451.166189
Phobos,401,2461459.000000,4643.187956,-7796.062996,-2607.398803
Phobos,401,2461466.000000,2273.774638,-9080.371635,-1508.573329
Phobos,401,2461473.000000,-307.291258,-9499.072972,-262.509918
Phobos,401,2461480.000000,-2856.091542,-9021.137114,1011.924336
Phobos,401,2461487.000000,-5134.379165,-7694.185799,2194.592798
Phobos,401,2461494.000000,-6927.361376,-5640.148250,3173.102215
Phobos,401,2461501.000000,-8060.926477,-3046.352044,3851.726116
Phobos,401,2461508.000000,-8416.560733,-153.994335,4159.309968
Phobos,401,2461515.000000,-7945.182124,2758.155991,4057.169970
Phobos,401,2461522.000000,-6678.378080,5398.158941,3546.524690
Phobos,401,2461529.000000,-4731.875141,7492.065595,2671.140714
Phobos,401,2461536.000000,-2297.979378,8815.986225,1515.653388
Phobos,401,2461543.000000,372.578412,9226.069364,197.949593
Phobos,401,2461550.000000,3000.803442,8679.760685,-1144.601408
Phobos,401,2461557.000000,5315.663677,7240.521713,-2372.960456
Phobos,401,2461564.000000,7085.413949,5066.865295,-3363.165016
Phobos,401,2461571.000000,8142.028351,2389.784934,-4019.128208
Phobos,401,2461578.000000,8395.733757,-517.595234,-4281.853275
Phobos,401,2461585.000000,7837.480697,-3370.964362,-4132.048517
Phobos,401,2461592.000000,6532.928518,-5900.422594,-3588.908746
Phobos,401,2461599.000000,4612.802964,-7871.283274,-2706.422618
Phobos,401,2461606.000000,2259.983980,-9101.135069,-1567.195135
Phobos,401,2461613.000000,-305.986761,-9472.483689,-276.128851
Phobos,401,2461620.000000,-2843.846134,-8941.747543,1046.779296
Phobos,401,2461627.000000,-5108.090757,-7546.268321,2274.756581
Phobos,401,2461634.000000,-6871.035711,-5407.173611,3285.719379
Phobos,401,2461641.000000,-7946.598467,-2724.025447,3974.248477
Phobos,401,2461648.000000,-8213.047516,239.668304,4263.638894
Phobos,401,2461655.000000,-7631.990958,3180.741138,4117.695732
Phobos,401,2461662.000000,-6258.296135,5792.364715,3547.484852
Phobos,401,2461669.000000,-4235.217582,7802.863504,2611.113336
Phobos,401,2461676.000000,-1777.118412,9008.345350,1406.513437
Phobos,401,2461683.000000,858.119365,9295.818798,59.182495
Phobos,401,2461690.000000,3402.258443,8652.552288,-1294.105554
Phobos,401,2461697.000000,5606.439559,7159.646754,-2521.342869
Phobos,401,2461704.000000,7263.608884,4976.755226,-3507.098933
Phobos,401,2461711.000000,8224.129193,2322.259995,-4161.898621
Phobos,401,2461718.000000,8404.858078,-549.296461,-4427.701475
Phobos,401,2461725.000000,7792.022334,-3369.067957,-4281.110967
Phobos,401,2461732.000000,6440.773258,-5872.244451,-3734.300437
Phobos,401,2461739.000000,4472.624883,-7818.095598,-2834.546844
Phobos,401,2461746.000000,2068.507923,-9011.025289,-1662.393240
Phobos,401,2461753.000000,-543.394293,-9320.441939,-326.439685
Phobos,401,2461760.000000,-3105.270354,-8697.981381,1043.920489
Phobos,401,2461767.000000,-5353.934799,-7190.602221,2310.574396
Phobos,401,2461774.000000,-7051.942415,-4942.093619,3342.531727
Phobos,401,2461781.000000,-8017.991914,-2180.494930,4031.712904
Phobos,401,2461788.000000,-8150.293939,806.638426,4306.785666
Phobos,401,2461795.000000,-7440.322166,3707.789280,4142.397629
Phobos,401,2461802.000000,-5971.456254,6227.614280,3561.602540
Phobos,401,2461809.000000,-3904.136657,8119.911028,2629.715159
Phobos,401,2461816.000000,-1453.675813,9210.237260,1444.669114
Phobos,401,2461823.000000,1135.295259,9408.127854,125.291580
Phobos,401,2461830.000000,3614.271185,8708.771028,-1201.904017
Phobos,401,2461837.000000,5751.413936,7187.162741,-2413.477687
Phobos,401,2461844.000000,7347.268448,4989.018566,-3397.866993
Phobos,401,2461851.000000,8249.716086,2319.058815,-4062.988669
Phobos,401,2461858.000000,8366.383585,-574.095547,-4344.007893
Phobos,401,2461865.000000,7673.895262,-3415.723925,-4209.326445
Phobos,401,2461872.000000,6224.735314,-5926.179347,-3665.179193
Phobos,401,2461879.000000,4149.094097,-7847.386228,-2758.643167
Phobos,401,2461886.000000,1646.973704,-8973.174455,-1575.444930
Phobos,401,2461893.000000,-1029.674676,-9176.146881,-233.589490
Phobos,401,2461900.000000,-3602.884935,-8427.329035,1128.757252
Phobos,401,2461907.000000,-5803.309302,-6804.097198,2370.063841
Phobos,401,2461914.000000,-7405.023798,-4480.476358,3363.569687
Phobos,401,2461921.000000,-8251.302652,-1702.796712,4012.112298
Phobos,401,2461928.000000,-8269.383326,1241.526661,4257.311891
Phobos,401,2461935.000000,-7472.975459,4058.541741,4084.162260
Phobos,401,2461942.000000,-5953.626836,6478.592462,3518.464231
Phobos,401,2461949.000000,-3866.274390,8278.187089,2620.962763
Phobos,401,2461956.000000,-1412.976103,9294.328065,1480.307302
Phobos,401,2461963.000000,1175.108460,9435.188483,204.911210
Phobos,401,2461970.000000,3655.937236,8685.471029,-1085.582396
Phobos,401,2461977.000000,5793.742149,7107.943682,-2269.586098
Phobos,401,2461984.000000,7377.587058,4842.218888,-3232.125195
Phobos,401,2461991.000000,8241.686307,2098.155839,-3875.405204
Phobos,401,2461998.000000,8285.318410,-859.799405,-4129.971257
Phobos,401,2462005.000000,7488.304029,-3734.815963,-3964.031116
Phobos,401,2462012.000000,5919.948639,-6228.132418,-3389.941731
Phobos,401,2462019.000000,3736.911550,-8076.267705,-2465.298114
Phobos,401,2462026.000000,1165.414891,-9085.918906,-1287.372120
Phobos,401,2462033.000000,-1526.330394,-9157.384005,19.190577
Phobos,401,2462040.000000,-4061.301962,-8295.046763,1317.949310
Phobos,401,2462047.000000,-6187.136983,-6601.980654,2477.679358
Phobos,401,2462054.000000,-7702.570996,-4260.848152,3386.835075
Phobos,401,2462061.000000,-8472.576676,-1509.841886,3962.193309
Phobos,401,2462068.000000,-8435.142781,1382.438039,4154.595954
Phobos,401,2462075.000000,-7602.280382,4142.214167,3950.832739
Phobos,401,2462082.000000,-6055.084861,6512.049196,3372.875201
Phobos,401,2462089.000000,-3936.311998,8268.890421,2475.089126
Phobos,401,2462096.000000,-1441.213934,9240.741418,1340.794601
Phobos,401,2462103.000000,1196.380738,9322.904345,77.112755
Phobos,401,2462110.000000,3722.035552,8491.158511,-1193.765832
Phobos,401,2462117.000000,5882.078491,6810.280958,-2344.254445
Phobos,401,2462124.000000,7449.759064,4435.645936,-3254.148721
Phobos,401,2462131.000000,8254.793885,1602.582491,-3825.345909
